FO,Region,Country,ACD Location,lat,lon,Latlong Source,Guess,REC_ID,ENL_ID,yr_start,yr_end,surv_int,pcd,cases,pyor,y,LN(y),s.e.,LCI95,UCI95,Mylem,Myuem,n,n+,lar,uar,PfPR,pr,mbg_pr,mix_pr,Ref ACD,Ref PfPR,Notes,
1,Africa+,Kenya,Kipsamoite,0.3229,34.9991,GPS,1,-1594652147,2755,2001,2001,7,Y,116,2913,39.821,3.684,0.093,33.196,47.770,6.626,7.948,152,2,0.0,99.0,1.316,1.725,9.897,1.725,3,4,,
2,Africa+,Kenya,Kipsamoite,0.3229,34.9991,GPS,1,-1594652147,2755,2002,2002,7,Y,388,3038,127.716,4.850,0.051,115.619,141.078,12.096,13.362,228,18,0.0,99.0,7.895,10.348,15.851,10.348,3,4,,
3,Africa+,Kenya,Kipsamoite,0.3229,34.9991,GPS,1,-1594652147,2755,2003,2003,7,Y,167,3094,53.975,3.989,0.077,46.380,62.815,7.596,8.840,,,,,,,17.964,17.964,3,4,,
4,Africa+,Kenya,Kipsamoite,0.3229,34.9991,GPS,1,-1594652147,2755,2004,2004,7,Y,124,2877,43.100,3.764,0.090,36.144,51.395,6.956,8.295,,,,,,,16.271,16.271,3,4,,
5,Africa+,Kenya,Ngilai,1.2206,37.3264,Other,1,-1333309789,571,2001,2004,7,Y,13,238,54.622,4.000,0.277,31.716,94.070,22.906,39.448,,,,,,,32.662,32.662,6,4,,
6,Africa+,Kenya,Ngerenya,-3.5153,39.8376,GPS,1,-1969658528,571,1999,2000,7.000,Y,583,779,748.290,6.618,0.041,689.947,811.566,58.342,63.276,1117,244,1.0,9.0,21.844,22.027,30.289,22.027,"10, 11,12",10,,
7,Africa+,Kenya,Ngerenya,-3.5153,39.8376,GPS,1,-1969658528,571,2000,2001,7,Y,882,910,968.794,6.876,0.034,906.921,1034.888,61.873,66.094,1074,305,1.0,9.0,28.399,28.636,25.909,28.636,"10, 11,12",10,,
8,Africa+,Kenya,Chonyi,-3.7231,39.7249,GPS,1,-279264136,571,2000,2001,7,Y,609,843,722.180,6.582,0.041,667.041,781.877,55.139,59.697,1017,390,1.0,9.0,38.348,38.669,38.124,38.669,"10, 11,12",11,,
9,Africa+,Kenya,Chonyi,-3.7231,39.7249,GPS,1,-279264136,571,1999,2000,7,Y,415,746,556.420,6.322,0.049,505.380,612.614,51.040,56.195,1091,467,1.0,9.0,42.805,43.163,48.585,43.163,"10, 11,12",11,,
10,Africa+,Madagascar,Ankazobe,-18.316,47.118,Encarta,1,1192887640,2481,1993,1996,2.000,Y,949,3316,81.768,4.404,0.032,76.728,87.140,5.040,5.372,14580,2088,0.0,95.0,14.321,18.771,30.412,18.771,9,9,,
