surv_int,cases,pop,region,yr_start,yr_end,lat,lon,model_pr,PYOR,pr,MLclass,MLprob,PCMlte5,PCMgt5lt40,PCMgte40,MEDIAN,Q975,Q025,Q75,Q75,Q25,width95,width75,SD,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249
7,26,,Africa+,1996,1997,-17.45,14.717,4.427,1067,1.29,2,0.70524,0.1902,0.70524,0.10455,0.13393,0.5973,0.01166,0.2545,0.06363,0.58563,0.19086,0.1568,0.03926,0.24093,0.04201,0.05279,0.04088,0.18269,0.34188,0.0817,0.06755,0.10805,0.03058,0.14333,0.0867,0.02165,0.05455,0.04636,0.07029,0.25925,0.17516,0.01201,0.0229,0.03883,0.23879,0.20513,0.0274,0.29811,0.37979,0.39067,0.35954,0.15538,0.15497,0.06778,0.09939,0.41635,0.17125,0.12405,0.07396,0.13601,0.20579,0.08522,0.06712,0.15868,0.05944,0.03226,0.01067,0.42171,0.02374,0.27791,0.14149,0.05522,0.35905,0.04941,0.13282,0.10095,0.06467,0.09646,0.12144,0.06504,0.12467,0.29546,0.09068,0.01448,0.09958,0.07604,0.16121,0.12296,0.09032,0.01211,0.04866,0.11113,0.16504,0.01415,0.22554,0.22558,0.06261,0.04846,0.12432,0.06896,0.4395,0.05752,0.05239,0.33831,0.13871,0.09105,0.14854,0.14507,0.03026,0.09353,0.30281,0.19667,0.22644,0.29068,0.19639,0.0909,0.08614,0.13599,0.24111,0.08505,0.0286,0.2066,0.07891,0.21059,0.07066,0.12713,0.12836,0.13869,0.11128,0.12417,0.0317,0.25983,0.23902,0.47056,0.01368,0.17132,0.34875,0.23572,0.03316,0.16002,0.64058,0.07651,0.13414,0.11869,0.30383,0.24057,0.31406,0.36603,0.04869,0.30608,0.07174,0.18584,0.45134,0.20248,0.13278,0.27551,0.1661,0.17167,0.22934,0.0323,0.17499,0.15101,0.365,0.05544,0.20292,0.12649,0.0764,0.03231,0.05625,0.12166,0.0949,0.08568,0.09085,0.07389,0.21577,0.21097,0.21835,0.13613,0.23212,0.20437,0.11473,0.15667,0.02488,0.17435,0.34041,0.13501,0.02851,0.05403,0.31895,0.06245,0.15004,0.03884,0.32789,0.22233,0.16748,0.02878,0.06471,0.40695,0.53604,0.37349,0.08485,0.11288,0.27499,0.20585,0.29799,0.19155,0.48009,0.30102,0.41609,0.36375,0.44052,0.23839,0.14186,0.27967,0.22314,0.10774,0.16466,0.59501,0.48377,0.24006,0.16681,0.14574,0.09731,0.13684,0.11596,0.59255,0.5297,0.34019,0.13458,0.28808,0.2857,0.10981,0.13959,0.03027,0.12931,0.26764,0.06709,0.42003,0.39813,0.02239,0.09497,0.36412,0.23472,0.12234,0.13829,0.09566,0.31195,0.0994,0.0754,0.53408,0.03648,0.10713,0.07056
2,108,421,Africa+,1995,1995,35.498,13.933,5.789,421,2.29,1,0.74775,0.74775,0.24772,0.00453,0.02095,0.22215,0.00123,0.05044,0.00837,0.22092,0.04207,0.06276,0.00063,0.05878,0.0123,0.01387,0.01497,0.19643,0.0257,0.00878,0.05613,0.01378,0.00955,0.04025,0.01071,0.08041,0.02185,0.02613,0.0416,0.14686,0.01242,0.01012,0.00953,0.00121,0.03686,0.00351,0.00119,0.01116,0.0117,0.00342,0.00776,0.00409,0.06272,0.04794,0.02794,0.01327,0.00497,0.00408,0.00733,0.00678,0.10935,0.01288,0.03056,0.08415,0.00903,0.01284,0.15808,0.00423,0.01157,0.12555,0.0152,0.08376,0.00739,0.01136,0.007,0.03791,0.13179,0.00091,0.0015,0.09005,0.03284,0.0619,0.02796,0.20095,0.04808,0.02142,0.13324,0.01245,0.07654,0.02906,0.01035,0.0636,0.01033,0.06915,0.00619,0.0319,0.01783,0.00583,0.04717,0.02809,0.02221,0.25834,0.0134,0.03248,0.1315,0.00508,0.01218,0.05521,0.02125,0.02025,0.21605,0.00211,0.04676,0.00403,0.0449,0.18088,0.01058,0.03734,0.01312,0.01441,0.01677,0.07262,0.01372,0.10141,0.02216,0.00945,0.06944,0.08854,0.03717,0.13641,0.00173,0.07541,0.0367,0.10804,0.08668,0.00761,0.04069,0.00879,0.02787,0.00886,0.05691,0.02519,0.01022,0.00405,0.00565,0.01595,0.00605,0.01594,0.02204,0.05514,0.00493,0.00663,0.01364,0.00672,0.05043,0.03692,0.02166,0.06704,0.01308,0.21533,0.05459,0.01452,0.03041,0.17047,0.01185,0.0229,0.01302,0.00202,0.06601,0.02128,0.00115,0.01066,0.11271,0.22681,0.01079,0.01462,0.00582,0.01294,0.06777,0.02597,0.0103,0.00591,0.02374,0.03743,0.16717,0.01305,0.06272,0.01637,0.01951,0.00245,0.05343,0.04944,0.00175,0.00911,0.01275,0.01826,0.04052,0.02299,0.01122,0.03515,0.0374,0.02137,0.2011,0.05521,0.01424,0.00617,0.02607,0.02361,0.10309,0.0362,0.06757,0.1089,0.00927,0.00094,0.0206,0.01672,0.04616,0.00887,0.02399,0.02436,0.02746,0.01975,0.01239,0.13673,0.0511,0.01239,0.03264,0.01447,0.06462,0.02562,0.04036,0.33697,0.01838,0.12076,0.00972,0.01963,0.02683,0.00072,0.06836,0.02369,0.02435,0.01069,0.00505,0.0038,0.00235,0.00175,0.00112,0.02995,0.00767,0.00344,0.039,0.00788,0.04187
7,,,Africa+,2001,2004,34.9991,0.323,14.992,,4.72,2,0.51119,0.48249,0.51119,0.00632,0.05216,0.28162,0.00537,0.09816,0.02643,0.27626,0.07173,0.07416,0.01284,0.01895,0.05509,0.05852,0.00711,0.00767,0.02621,0.01669,0.02822,0.08493,0.02138,0.08877,0.03812,0.03905,0.04403,0.07703,0.09747,0.02987,0.04903,0.01382,0.1009,0.03218,0.33188,0.14714,0.03972,0.01838,0.00706,0.02246,0.19603,0.11625,0.07741,0.02286,0.07365,0.08997,0.03845,0.02108,0.02094,0.06329,0.07155,0.12024,0.018,0.0505,0.02131,0.01397,0.02347,0.07306,0.04981,0.03366,0.06101,0.11593,0.00989,0.0428,0.01793,0.09815,0.0545,0.03348,0.01219,0.07101,0.02174,0.15941,0.11398,0.09076,0.09051,0.15561,0.10409,0.0222,0.03694,0.05699,0.23476,0.09645,0.01887,0.03164,0.14468,0.19289,0.16747,0.06271,0.03255,0.01779,0.06039,0.02327,0.26913,0.03514,0.08112,0.086,0.07406,0.11826,0.05504,0.00634,0.01097,0.12374,0.03431,0.01422,0.01481,0.02271,0.02162,0.0268,0.0432,0.01758,0.01839,0.01425,0.07245,0.05174,0.01731,0.00804,0.00709,0.0037,0.0518,0.05179,0.06024,0.06323,0.01165,0.04281,0.32875,0.18508,0.08672,0.05218,0.165,0.09361,0.10365,0.15927,0.07212,0.20738,0.08549,0.07152,0.05048,0.01638,0.12065,0.25578,0.10874,0.08809,0.10111,0.12869,0.06593,0.07137,0.04562,0.03093,0.14074,0.07549,0.03288,0.01675,0.05242,0.00733,0.03248,0.04793,0.0731,0.01305,0.02408,0.03858,0.07224,0.02982,0.11749,0.15103,0.19987,0.08221,0.08006,0.01959,0.08297,0.02198,0.18772,0.1086,0.12332,0.0784,0.33856,0.11554,0.08888,0.13453,0.09519,0.06977,0.05518,0.20893,0.01221,0.06829,0.06648,0.11178,0.16815,0.06434,0.01901,0.04982,0.02586,0.07269,0.01024,0.05521,0.00497,0.08907,0.02018,0.03678,0.00551,0.11609,0.02716,0.02652,0.0956,0.09647,0.02886,0.04719,0.2131,0.13468,0.17318,0.02181,0.02879,0.15873,0.16943,0.03897,0.10563,0.20904,0.0843,0.06058,0.06177,0.04407,0.08013,0.02354,0.03297,0.10617,0.02936,0.079,0.04407,0.20109,0.05638,0.08801,0.07178,0.14388,0.05476,0.06064,0.08097,0.08288,0.06744,0.02552,0.0688,0.04446,0.01543,0.04706,0.05598
7,2725,,Africa+,1996,1996,32.2877,-26.9711,9.696,13099,9.17,2,0.67826,0.24789,0.67826,0.07385,0.1086,0.54589,0.00902,0.21345,0.05041,0.53687,0.16304,0.14266,0.04982,0.36558,0.01971,0.01534,0.09772,0.42436,0.03266,0.13736,0.01581,0.12553,0.08656,0.11376,0.13047,0.01815,0.04109,0.02383,0.14115,0.22534,0.13349,0.05122,0.13012,0.09429,0.11196,0.00546,0.08895,0.05168,0.07705,0.14162,0.17709,0.08684,0.28541,0.22921,0.07417,0.12261,0.15944,0.20697,0.14334,0.18245,0.2064,0.29495,0.52707,0.02877,0.1341,0.10882,0.19204,0.37117,0.08144,0.07225,0.0438,0.23269,0.11577,0.26878,0.46784,0.19964,0.27479,0.13825,0.09919,0.10272,0.11893,0.56557,0.06023,0.17404,0.0233,0.02753,0.08406,0.08014,0.7022,0.02915,0.26711,0.24749,0.07337,0.41827,0.697,0.08625,0.08258,0.12652,0.13446,0.03308,0.54213,0.2408,0.23396,0.04052,0.07611,0.26515,0.0442,0.15487,0.39531,0.2521,0.1462,0.16128,0.13653,0.04436,0.37113,0.05329,0.23954,0.03172,0.11902,0.08673,0.14831,0.32683,0.13394,0.51511,0.25684,0.25654,0.59744,0.15553,0.10618,0.13101,0.26111,0.15284,0.08513,0.07712,0.16759,0.03842,0.31128,0.21962,0.08829,0.10566,0.11302,0.10259,0.03547,0.02115,0.12619,0.10425,0.16379,0.01744,0.08106,0.3285,0.04066,0.06055,0.04687,0.17079,0.08601,0.22344,0.2635,0.16515,0.21507,0.04019,0.17178,0.03821,0.10804,0.23708,0.03985,0.46763,0.08727,0.33311,0.10563,0.14018,0.28956,0.06397,0.08696,0.02151,0.14434,0.02671,0.02494,0.0298,0.08756,0.01405,0.43339,0.14523,0.16285,0.07011,0.16662,0.33197,0.26835,0.21615,0.18295,0.1396,0.15736,0.27187,0.17695,0.26071,0.17278,0.03735,0.24547,0.20451,0.09275,0.02371,0.05399,0.06932,0.14919,0.14707,0.09749,0.06499,0.13884,0.09184,0.05831,0.36287,0.13566,0.08434,0.20491,0.08092,0.67826,0.04295,0.26329,0.273,0.00579,0.09165,0.03545,0.23267,0.05301,0.32433,0.08547,0.03824,0.03475,0.24524,0.55206,0.23248,0.03738,0.18045,0.23766,0.02237,0.23454,0.04428,0.43709,0.51154,0.10617,0.22427,0.09727,0.25037,0.04546,0.07287,0.1699,0.27529,0.0146,0.16777,0.09206,0.32345,0.23371,0.23874,0.00949
7,13,238,Africa+,2001,2004,37.3264,1.2206,32.713,238,10.42,2,0.44025,0.14523,0.44025,0.41452,0.30469,0.94259,0.00755,0.60892,0.1018,0.93504,0.50712,0.293,0.07568,0.47479,0.19605,0.07111,0.58055,0.34489,0.05136,0.17361,0.59948,0.03135,0.45686,0.8156,0.6577,0.0855,0.09143,0.54647,0.12579,0.19576,0.11462,0.18924,0.0853,0.16236,0.88681,0.25121,0.53338,0.04483,0.23079,0.42731,0.04405,0.02174,0.06742,0.91502,0.76184,0.11381,0.81705,0.42701,0.2828,0.52967,0.03916,0.1796,0.16147,0.65641,0.55111,0.01466,0.52614,0.19598,0.0129,0.81526,0.03042,0.17039,0.02899,0.21232,0.01044,0.48578,0.4047,0.18974,0.22948,0.08282,0.07184,0.81707,0.27244,0.92779,0.78954,0.19666,0.82725,0.05251,0.16551,0.59312,0.37268,0.10124,0.1834,0.59176,0.90801,0.66559,0.4286,0.76257,0.0983,0.7196,0.01951,0.77864,0.52572,0.32153,0.01643,0.06832,0.08735,0.38339,0.67119,0.68065,0.04802,0.50789,0.95948,0.69267,0.05675,0.48504,0.05085,0.83578,0.43994,0.20066,0.51809,0.31905,0.23531,0.01074,0.01734,0.01713,0.01082,0.68772,0.77502,0.26964,0.37093,0.56725,0.6466,0.00261,0.22677,0.25417,0.3026,0.01383,0.43625,0.43787,0.03362,0.02589,0.43865,0.42858,0.95324,0.73152,0.32459,0.0037,0.67247,0.59457,0.17696,0.11496,0.33575,0.86767,0.58379,0.00671,0.00796,0.12589,0.33406,0.26742,0.76171,0.26287,0.79254,0.36605,0.01131,0.30343,0.96985,0.01806,0.78431,0.07729,0.80903,0.08102,0.80043,0.15803,0.7087,0.19344,0.01342,0.09131,0.87961,0.20705,0.37174,0.40477,0.78176,0.6218,0.48234,0.51755,0.4904,0.24596,0.95534,0.88297,0.22856,0.25167,0.59276,0.05638,0.98989,0.48548,0.39617,0.95263,0.32756,0.75798,0.05843,0.95516,0.59105,0.54512,0.94078,0.51661,0.16742,0.28399,0.23033,0.70634,0.95972,0.65989,0.15213,0.84553,0.12155,0.00248,0.05384,0.01291,0.6748,0.59936,0.29228,0.28602,0.30207,0.06035,0.88288,0.08159,0.29964,0.76175,0.87171,0.02443,0.90041,0.99286,0.92032,0.97809,0.75016,0.16886,0.24866,0.02206,0.32655,0.42966,0.23731,0.52677,0.08591,0.14373,0.55055,0.52184,0.95416,0.51801,0.09793,0.65755,0.45679,0.80901,0.26298
2,158,415,Africa+,1993,1993,35.498,13.933,4.208,415,11.6,1,0.74775,0.74775,0.24013,0.01211,0.01728,0.29454,0.00057,0.05058,0.00562,0.29397,0.04496,0.08257,0.00384,0.02826,0.0055,0.01065,0.01031,0.02009,0.02911,0.00479,0.03863,0.0127,0.01623,0.01313,0.04276,0.07192,0.02606,0.00724,0.02418,0.00136,0.02371,0.023,0.00561,0.18475,0.00432,0.0091,0.00713,0.07472,0.07327,0.05054,0.01872,0.06652,0.29259,0.01828,0.24611,0.14685,0.07701,0.0235,0.00162,0.10607,0.00164,0.01518,0.151,0.02182,0.01189,0.00658,0.05104,0.05747,0.19127,0.00339,0.02386,0.0088,0.07143,0.0796,0.00853,0.02066,0.08702,0.01942,0.08625,0.02079,0.01384,0.02199,0.06259,0.0162,0.02557,0.0187,0.08522,0.0797,0.00292,0.02318,0.05801,0.04941,0.00436,0.09168,0.00202,0.00196,0.01998,0.03138,0.00564,0.00289,0.0615,0.01008,0.0155,0.0272,0.02885,0.00805,0.00536,0.00868,0.03227,0.01271,0.28473,0.01202,0.06696,0.01804,0.04682,0.0917,0.09392,0.55327,0.07106,0.00795,0.09594,0.04923,0.00277,0.00574,0.00949,0.00253,0.01705,0.00146,0.10769,0.00818,0.01452,0.02548,0.08182,0.0915,0.07401,0.01586,0.01733,0.41973,0.038,0.01257,0.03387,0.00108,0.00455,0.00766,0.10692,0.0081,0.03744,0.04313,0.02406,0.05624,0.04843,0.08238,0.05799,0.14776,8.00E-04,0.0095,0.00038,0.09023,0.02156,0.06328,0.02747,0.02455,0.00661,0.09169,0.00594,0.01923,0.00395,0.03203,0.00317,0.0462,0.07777,0.02385,0.015,0.00767,0.02731,0.00796,0.0261,0.00282,0.04157,0.005,0.05138,0.20011,0.01317,0.19938,0.01276,0.03838,0.19546,0.01647,0.26,0.23109,0.01576,0.24595,0.1803,0.00234,0.00374,0.00301,0.02552,0.00183,0.00554,0.31954,0.09576,0.00168,0.03673,0.05971,0.00097,0.00723,0.00597,0.02049,0.01296,0.00964,0.02094,0.02518,0.00782,0.00062,0.0443,0.04974,0.0062,0.00844,0.13806,0.02215,0.0516,0.08556,0.02225,0.07189,0.01901,0.05105,0.00162,0.36812,0.01049,0.00373,0.01165,0.04112,0.38355,0.02479,0.07934,0.00059,0.03208,0.01878,0.12681,0.02565,0.00197,0.00472,0.00929,0.00525,0.0175,0.00913,0.01318,0.05401,0.02682,0.04118,0.00011,0.02979,0.00333
2,176,432,Africa+,1994,1994,35.498,13.933,3.267,432,11.6,1,0.82181,0.82181,0.1758,0.00238,0.01503,0.17189,0.00083,0.03649,0.00598,0.17106,0.03051,0.05068,0.00714,0.0111,0.04084,0.00363,0.01186,0.00326,0.00523,0.00791,0.00846,0.01317,0.01983,0.01116,0.0109,0.04709,0.01017,0.04432,0.00554,0.01227,0.05363,0.04209,0.00577,0.09799,0.01718,0.01019,0.01017,0.11488,0.04231,0.01926,0.00236,0.01015,0.0338,0.05342,0.00588,0.07494,0.00826,0.01987,0.02544,0.03494,0.02345,0.00634,0.03908,0.0549,0.00993,0.00694,0.05514,0.01387,0.02574,0.11946,0.00524,0.04746,0.02559,0.025,0.01558,0.00788,0.01722,0.08179,0.00266,0.03109,0.05043,0.00821,0.08849,0.1159,0.00811,0.06249,0.00398,0.00326,0.00354,0.05233,0.01516,0.0799,0.00417,0.01305,0.00353,0.02537,0.0336,0.01463,0.0017,0.06133,0.005,0.08785,0.41017,0.00904,0.00635,0.00659,0.03007,0.00867,0.08162,0.0327,0.00887,0.00027,0.01761,0.00368,0.01861,0.02081,0.01792,0.06896,0.03389,0.03769,0.049,0.05005,0.01077,0.00651,0.00306,0.00443,0.0062,0.02429,0.01599,0.01628,0.08956,0.00355,0.04008,0.01884,0.0183,0.01237,0.01663,0.05259,0.00616,0.02967,0.0212,0.10688,0.06889,0.01567,0.00593,0.01536,0.02034,0.00944,0.0079,0.01028,0.0017,0.00889,0.0093,0.07594,0.01509,0.09507,0.0225,0.0068,0.04579,0.02181,0.08459,0.03698,0.05373,0.01849,0.00572,0.03954,0.0571,0.01142,0.01115,0.02216,0.0092,0.03001,0.01096,0.02227,0.03366,0.00783,0.02144,0.03508,0.01476,0.00868,0.00142,0.05646,0.01507,0.05696,0.07454,0.0035,0.1119,0.08913,0.00458,0.04933,0.02112,0.0126,0.0216,0.00394,0.00246,0.00127,0.05575,0.00312,0.02065,0.01096,0.00468,0.01571,0.00077,0.00521,0.00537,0.01625,0.02195,0.03523,0.04444,0.02495,0.06087,0.01374,0.0049,0.00738,0.00584,0.01767,0.02594,0.00932,0.02988,0.02717,0.01026,0.00951,0.01474,0.06272,0.07478,0.21622,0.14832,0.06605,0.00645,0.04584,0.01574,0.05993,0.15481,0.02095,0.01393,0.01007,0.00853,0.06848,0.00946,0.02287,0.04096,0.00319,0.00298,0.00132,0.00226,0.00382,0.00545,0.00126,0.0011,0.00601,0.00201,0.00105,0.00695
7,576,201,Africa+,1999,2000,-7.933,12.65,39.693,766.4,11.71,3,0.65224,0.02606,0.32171,0.65224,0.54904,0.96329,0.0488,0.77065,0.29331,0.91449,0.47733,0.27727,0.40346,0.50777,0.40872,0.19283,0.52457,0.98484,0.86856,0.1915,0.85921,0.56933,0.64135,0.55303,0.53088,0.44648,0.26758,0.16064,0.6483,0.3495,0.78955,0.21441,0.7716,0.67093,0.528,0.36994,0.69507,0.22939,0.82696,0.10928,0.67196,0.11447,0.49606,0.39093,0.57197,0.14782,0.66351,0.57425,0.05604,0.75483,0.35771,0.61502,0.87881,0.98001,0.13135,0.50615,0.63061,0.83996,0.63648,0.77418,0.5474,0.41785,0.80832,0.70206,0.27909,0.35478,0.46406,0.63766,0.05175,0.29449,0.27657,0.16188,0.01636,0.65599,0.23422,0.11763,0.03867,0.8391,0.29395,0.43267,0.49917,0.41233,0.84998,0.66148,0.52413,0.80419,0.49603,0.30616,0.77284,0.35903,0.20771,0.61185,0.78181,0.46873,0.67177,0.6236,0.8864,0.39369,0.5865,0.13408,0.29568,0.64569,0.39913,0.92914,0.11313,0.83757,0.61981,0.54535,0.78666,0.72698,0.27325,0.79133,0.11382,0.68584,0.91004,0.07365,0.4174,0.20564,0.08143,0.13998,0.13743,0.18721,0.87516,0.58632,0.80201,0.16629,0.32818,0.84297,0.80723,0.48323,0.46482,0.41844,0.92504,0.90411,0.66279,0.57033,0.79938,0.95956,0.9607,0.84092,0.62503,0.87356,0.59774,0.3286,0.85589,0.21673,0.41353,0.52556,0.75361,0.05491,0.36751,0.71184,0.13744,0.33818,0.11081,0.15954,0.85035,0.58561,0.33332,0.04296,0.33063,0.47851,0.74723,0.3207,0.81547,0.66797,0.63541,0.53417,0.78829,0.8035,0.2377,0.76505,0.65882,0.90101,0.84391,0.09202,0.6057,0.55259,0.38907,0.03518,0.35777,0.30673,0.54991,0.65011,0.49174,0.71164,0.86749,0.53631,0.40603,0.75726,0.42439,0.44893,0.94526,0.03684,0.10267,0.75852,0.83378,0.94195,0.80425,0.45543,0.04121,0.89083,0.96786,0.08381,0.86438,0.86059,0.81093,0.18667,0.78839,0.82065,0.64952,0.53044,0.7837,0.8558,0.27866,0.82164,0.9329,0.70018,0.77733,0.64239,0.58591,0.37224,0.12527,0.90446,0.71056,0.35766,0.49582,0.42042,0.71576,0.23677,0.56396,0.58618,0.56473,0.81179,0.7219,0.80144,0.17725,0.61356,0.73785,0.65953,0.46692,0.62429,0.97941
3,292,276,Africa+,1999,2000,-3.01,14.441,39.397,552,18.66,3,0.57672,0.01869,0.40459,0.57672,0.44961,0.8579,0.05867,0.61837,0.28165,0.79923,0.33672,0.21973,0.25104,0.45484,0.22845,0.42591,0.02794,0.3827,0.13428,0.28306,0.49152,0.34512,0.31296,0.10698,0.27959,0.56411,0.55908,0.62023,0.07821,0.14203,0.41842,0.31609,0.16781,0.50811,0.43164,0.02138,0.17881,0.2871,0.3721,0.08525,0.2154,0.33541,0.57372,0.27803,0.06137,0.54694,0.21443,0.25229,0.02253,0.12101,0.09511,0.05479,0.2303,0.4866,0.02884,0.14333,0.08929,0.32015,0.31525,0.42771,0.46712,0.30433,0.77013,0.34112,0.21646,0.42218,0.57712,0.82526,0.32569,0.17899,0.36231,0.38261,0.05953,0.45303,0.38393,0.02432,0.61571,0.10748,0.53792,0.28014,0.38447,0.28813,0.34632,0.57201,0.05761,0.51686,0.21713,0.4368,0.06878,0.30299,0.24229,0.60325,0.30266,0.48088,0.16249,0.5216,0.42513,0.84246,0.68993,0.34912,0.28008,0.30127,0.0863,0.67319,0.43677,0.77909,0.49565,0.77492,0.28652,0.53337,0.14947,0.53144,0.29559,0.65931,0.40745,0.4331,0.487,0.74364,0.38278,0.39249,0.07475,0.53085,0.78187,0.34603,0.52534,0.49795,0.51744,0.15164,0.26171,0.09301,0.38094,0.4556,0.78361,0.49349,0.61562,0.70767,0.41903,0.68398,0.43649,0.35257,0.50264,0.6812,0.19018,0.09744,0.13725,0.24245,0.32736,0.09156,0.0905,0.15085,0.25293,0.3765,0.57792,0.60581,0.5307,0.57162,0.03851,0.5947,0.64428,0.37841,0.25445,0.6593,0.87053,0.92153,0.40531,0.61399,0.46641,0.73296,0.71182,0.77533,0.76824,0.75639,0.57639,0.65646,0.33091,0.89243,0.17435,0.34437,0.68881,0.41155,0.1812,0.55553,0.04127,0.53139,0.46037,0.50985,0.35756,0.52971,0.18718,0.72123,0.20884,0.50302,0.49971,0.27093,0.33611,0.75314,0.61964,0.52901,0.48819,0.61156,0.60818,0.48538,0.19448,0.41358,0.36413,0.85498,0.46468,0.4737,0.4869,0.5105,0.42745,0.18859,0.80925,0.68283,0.54737,0.64003,0.54687,0.69213,0.32217,0.3711,0.33845,0.85238,0.6032,0.32717,0.22855,0.1731,0.54391,0.30306,0.45782,0.06298,0.45998,0.48375,0.05598,0.39436,0.64728,0.50202,0.83543,0.87191,0.65778,0.76538,0.55082,0.75894,0.54147
2,949,829,Africa+,1993,1996,47.118,-18.316,30.448,3316,18.74,3,0.50093,0.03583,0.46324,0.50093,0.40075,0.88708,0.04033,0.6081,0.21364,0.84675,0.39445,0.24333,0.38352,0.96215,0.7202,0.76207,0.74581,0.21596,0.91074,0.80767,0.67421,0.96155,0.65443,0.62653,0.87501,0.37321,0.75896,0.6221,0.86773,0.26545,0.60704,0.58952,0.47152,0.29008,0.31931,0.09304,0.1009,0.23402,0.07064,0.02185,0.29482,0.11284,0.24989,0.95056,0.19116,0.09853,0.52387,0.73957,0.31442,0.57983,0.02215,0.48705,0.89673,0.7704,0.86211,0.51516,0.97018,0.69316,0.80642,0.94908,0.85452,0.24255,0.72071,0.12095,0.17862,0.54086,0.27187,0.5234,0.22906,0.03392,0.36994,0.2422,0.1577,0.42202,0.14953,0.61069,0.21478,0.18082,0.06652,0.21734,0.05237,0.33634,0.75585,0.39421,0.16205,0.56561,0.22434,0.61085,0.79467,0.64424,0.54873,0.86836,0.9231,0.22254,0.51136,0.49785,0.51348,0.48724,0.58299,0.20246,0.4313,0.64675,0.66383,0.6704,0.59761,0.51261,0.73188,0.05231,0.20058,0.55926,0.57728,0.66436,0.54799,0.28278,0.56534,0.10231,0.12437,0.2897,0.73005,0.22764,0.10176,0.13389,0.62936,0.14072,0.66229,0.39073,0.67565,0.45688,0.26066,0.33629,0.28324,0.32024,0.33795,0.76905,0.60567,0.62124,0.60629,0.39003,0.63471,0.39286,0.66614,0.82471,0.058,0.25597,0.26443,0.51385,0.38732,0.07622,0.8164,0.0871,0.54799,0.04541,0.76417,0.18162,0.67579,0.1604,0.65876,0.41819,0.56749,0.48289,0.80243,0.40665,0.34646,0.5416,0.9532,0.80023,0.1382,0.53441,0.66487,0.70596,0.62725,0.93956,0.72046,0.70458,0.6685,0.31516,0.87165,0.2825,0.55194,0.76577,0.54217,0.2568,0.68799,0.19896,0.06946,0.66479,0.29243,0.60429,0.09699,0.22823,0.30052,0.29516,0.11368,0.71541,0.28346,0.24984,0.13519,0.22461,0.36969,0.31844,0.40037,0.36356,0.70977,0.3907,0.04435,0.45893,0.24224,0.51658,0.89718,0.84331,0.71086,0.32696,0.28727,0.06206,0.57841,0.32638,0.18523,0.62269,0.51551,0.39376,0.34297,0.1882,0.31486,0.48306,0.58382,0.24028,0.77836,0.06099,0.41358,0.44982,0.86651,0.40254,0.72085,0.76319,0.53351,0.76035,0.23537,0.90762,0.611,0.78491,0.66031,0.39611,0.25536
